iter	Passed	Remaining
458	803	946
459	804	944
460	805	941
461	806	939
462	809	938
463	810	936
464	811	933
465	812	931
466	813	928
467	815	926
468	816	924
469	818	922
470	819	919
471	820	917
472	821	915
473	822	913
474	824	911
475	825	909
476	827	906
477	828	904
478	829	902
479	832	901
480	833	899
481	835	897
482	836	895
483	838	893
484	839	891
485	840	889
486	842	887
487	843	884
488	844	882
489	845	879
490	846	877
491	847	875
492	848	872
493	849	870
494	850	867
495	851	865
496	852	862
497	853	860
498	854	858
499	855	855
500	856	853
501	857	850
502	858	848
503	859	845
504	861	844
505	862	842
506	864	840
507	865	838
508	867	836
509	868	834
510	870	832
511	871	830
512	872	828
513	874	826
514	876	825
515	877	823
516	879	821
517	881	820
518	882	818
519	884	816
520	885	813
521	886	811
522	888	810
523	891	809
524	892	807
525	894	805
526	895	803
527	896	801
528	899	800
529	901	799
530	903	798
531	905	796
532	906	794
533	908	792
534	909	790
535	910	788
536	911	785
537	912	783
538	913	781
539	915	779
540	916	777
541	918	776
542	919	774
543	921	772
544	922	770
545	923	768
546	924	765
547	925	763
548	926	760
549	927	758
550	928	756
551	929	754
552	930	752
553	931	750
554	933	748
555	933	745
556	934	743
557	936	741
558	937	739
559	938	737
560	939	735
561	940	733
562	941	730
563	942	728
564	944	727
565	945	725
566	946	722
567	947	720
568	948	718
569	949	716
570	951	714
571	952	712
572	953	710
573	954	708
574	955	706
575	956	704
576	958	702
577	959	700
578	961	698
579	961	696
580	963	694
581	963	692
582	965	690
583	966	688
584	968	686
585	969	684
586	970	682
587	971	680
588	972	678
589	974	677
590	976	675
591	978	674
592	979	672
593	981	670
594	983	669
595	985	667
596	987	666
597	989	665
598	991	663
599	992	661
600	994	660
601	996	659
602	998	657
603	1000	655
604	1002	654
605	1004	652
606	1006	651
607	1010	651
608	1016	652
609	1019	652
610	1023	651
611	1025	650
612	1028	649
613	1030	647
614	1034	647
615	1043	650
616	1047	650
617	1050	649
618	1053	648
619	1055	646
620	1056	645
621	1058	643
622	1061	642
623	1063	641
624	1065	639
625	1067	637
626	1069	636
627	1071	634
628	1073	633
629	1075	631
630	1077	630
631	1079	628
632	1080	626
633	1083	625
634	1085	623
635	1087	622
636	1088	620
637	1092	619
638	1093	617
639	1095	616
640	1097	614
641	1099	612
642	1100	611
643	1101	609
644	1103	607
645	1105	605
646	1106	603
647	1111	603
648	1114	602
649	1116	601
650	1122	601
651	1123	599
652	1127	599
653	1129	597
654	1130	595
655	1131	593
656	1133	591
657	1135	590
658	1136	588
659	1137	586
660	1140	584
661	1142	583
662	1143	581
663	1144	579
664	1146	577
665	1147	575
666	1149	573
667	1150	571
668	1152	570
669	1153	568
670	1154	566
671	1156	564
672	1157	562
673	1159	560
674	1160	558
675	1162	557
676	1164	555
677	1165	553
678	1167	551
679	1168	549
680	1171	548
681	1173	546
682	1174	545
683	1175	543
684	1176	541
685	1178	539
686	1179	537
687	1180	535
688	1181	533
689	1182	531
690	1183	529
691	1184	527
692	1186	525
693	1187	523
694	1188	521
695	1189	519
696	1190	517
697	1191	515
698	1192	513
699	1194	511
700	1195	509
701	1196	508
702	1198	506
703	1198	504
704	1200	502
705	1201	500
706	1202	498
707	1203	496
708	1204	494
709	1205	492
710	1206	490
711	1209	489
712	1210	487
713	1211	485
714	1212	483
715	1213	481
716	1214	479
717	1216	477
718	1218	476
719	1218	474
720	1219	471
721	1220	469
722	1221	467
723	1222	466
724	1224	464
725	1226	462
726	1227	460
727	1228	459
728	1229	457
729	1232	455
730	1234	454
731	1235	452
732	1236	450
733	1237	448
734	1239	446
735	1241	445
736	1242	443
737	1243	441
738	1245	439
739	1246	438
740	1248	436
741	1249	434
742	1251	432
743	1252	431
744	1254	429
745	1256	427
746	1258	426
747	1259	424
748	1262	422
749	1264	421
750	1266	419
751	1270	419
752	1272	417
753	1275	416
754	1277	414
755	1278	412
756	1280	410
757	1281	409
758	1284	407
759	1286	406
760	1288	404
761	1289	402
762	1291	401
763	1292	399
764	1294	397
765	1296	396
766	1298	394
767	1300	392
768	1301	390
769	1303	389
770	1305	387
771	1307	386
772	1309	384
773	1310	382
774	1313	381
775	1315	379
776	1315	377
777	1316	375
778	1319	374
779	1321	372
780	1323	371
781	1324	369
782	1326	367
783	1328	366
784	1330	364
785	1332	362
786	1334	361
787	1336	359
788	1337	357
789	1339	355
790	1342	354
791	1344	353
792	1345	351
793	1347	349
794	1349	347
795	1350	346
796	1352	344
797	1353	342
798	1356	341
799	1359	339
800	1360	338
801	1362	336
802	1364	334
803	1365	332
804	1367	331
805	1369	329
806	1371	328
807	1373	326
808	1375	324
809	1376	322
810	1377	321
811	1379	319
812	1381	317
813	1382	315
814	1384	314
815	1386	312
816	1387	310
817	1389	309
818	1390	307
819	1393	305
820	1395	304
821	1397	302
822	1399	301
823	1402	299
824	1404	297
825	1406	296
826	1408	294
827	1410	293
828	1411	291
829	1413	289
830	1415	287
831	1417	286
832	1418	284
833	1420	282
834	1421	280
835	1422	279
836	1424	277
837	1425	275
838	1426	273
839	1427	271
840	1428	270
841	1430	268
842	1431	266
843	1432	264
844	1433	263
845	1434	261
846	1435	259
847	1437	257
848	1438	255
849	1439	254
850	1440	252
851	1441	250
852	1442	248
853	1443	246
854	1444	245
855	1446	243
856	1447	241
857	1448	239
858	1449	237
859	1450	236
860	1451	234
861	1452	232
862	1453	230
863	1455	229
864	1456	227
865	1457	225
866	1457	223
867	1458	221
868	1459	220
869	1461	218
870	1462	216
871	1463	214
872	1464	213
873	1465	211
874	1466	209
875	1468	207
876	1470	206
877	1471	204
878	1472	202
879	1474	201
880	1475	199
881	1477	197
882	1478	195
883	1479	194
884	1481	192
885	1483	190
886	1485	189
887	1486	187
888	1487	185
889	1488	183
890	1490	182
891	1492	180
892	1494	179
893	1495	177
894	1497	175
895	1499	174
896	1501	172
897	1502	170
898	1503	168
899	1504	167
900	1506	165
901	1508	163
902	1509	162
903	1510	160
904	1511	158
905	1513	157
906	1514	155
907	1515	153
908	1516	151
909	1518	150
910	1519	148
911	1521	146
912	1522	145
913	1523	143
914	1524	141
915	1525	139
916	1527	138
917	1529	136
918	1530	134
919	1531	133
920	1532	131
921	1533	129
922	1534	127
923	1535	126
924	1537	124
925	1538	122
926	1540	121
927	1541	119
928	1542	117
929	1543	116
930	1545	114
931	1546	112
932	1547	111
933	1548	109
934	1549	107
935	1551	106
936	1552	104
937	1554	102
938	1555	101
939	1556	99
940	1558	97
941	1559	96
942	1560	94
943	1561	92
944	1562	90
